+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+----------------+
| substance                                                                                                                                                                                                                                   | count_allergic_patients | count_medicine |
| Tirofiban                                                                                                                                                                                                                                   |                       0 |              5 |
| Valeriana Officinalis L. Root Ethanol Dry Extract                                                                                                                                                                                           |                       0 |              2 |
| Ferriprotinate                                                                                                                                                                                                                              |                       0 |              2 |
| Amantadine                                                                                                                                                                                                                                  |                       0 |              2 |
| Lanolin                                                                                                                                                                                                                                     |                       0 |              1 |
| Lysine Amidotrizoate                                                                                                                                                                                                                        |                       0 |              1 |
| Canis Lupus Familiaris Hair                                                                                                                                                                                                                 |                       0 |              1 |
| Methenamine Mandelate                                                                                                                                                                                                                       |                       0 |              1 |
| Tretinoin                                                                                                                                                                                                                                   |                       0 |             10 |
| Amphotericin B                                                                                                                                                                                                                              |                       0 |             27 |
| Газообразен Sol                                                                                                                                                                                                                             |                       0 |              0 |
| Mutton Meat                                                                                                                                                                                                                                 |                       0 |              1 |
| Castor Equi Mother Tincture                                                                                                                                                                                                                 |                       0 |              1 |
| Miconazole                                                                                                                                                                                                                                  |                       0 |             19 |
| Turkey Meat                                                                                                                                                                                                                                 |                       0 |              1 |
| Warfarin Sodium Clathrate                                                                                                                                                                                                                   |                       0 |              4 |
| Apraclonidine                                                                                                                                                                                                                               |                       0 |              4 |
| Neostigmine Methylsulfate                                                                                                                                                                                                                   |                       0 |             16 |
| Oxetorone Fumarate                                                                                                                                                                                                                          |                       0 |              1 |
| Celiprolol Hydrochloride                                                                                                                                                                                                                    |                       0 |             19 |
| Avena Sativa Mother Tincture                                                                                                                                                                                                                |                       0 |              2 |
| Zolmitriptan                                                                                                                                                                                                                                |                       0 |             71 |
| Atenolol Ph. Eur.                                                                                                                                                                                                                           |                       0 |              2 |
| Nogapendekin Alfa Inbakicept                                                                                                                                                                                                                |                       0 |              1 |
| Pantoprazole                                                                                                                                                                                                                                |                       0 |            316 |
| Piper Methysticum Dil. D4                                                                                                                                                                                                                   |                       0 |              1 |
| Chamomile Flower Extract (1: 4.0-4.5) Extracting Solvent: Ethanol 38.5% (M / M)                                                                                                                                                             |                       0 |              1 |
| Benperidol                                                                                                                                                                                                                                  |                       0 |              4 |
| Pemetrexed Disodium                                                                                                                                                                                                                         |                       0 |              6 |
| Empagliflozin                                                                                                                                                                                                                               |                       0 |             28 |
| Extract Of Fresh Apple Mistletoe Herb                                                                                                                                                                                                       |                       0 |              1 |
| Kava-Kava Rhizoma                                                                                                                                                                                                                           |                       0 |              1 |
| Lofepramine                                                                                                                                                                                                                                 |                       0 |              1 |
| Calcium Carbonicum Hahnemanni D12                                                                                                                                                                                                           |                       0 |              1 |
| Mephenoxalone                                                                                                                                                                                                                               |                       0 |              1 |
| Tocilizumab                                                                                                                                                                                                                                 |                       0 |              5 |
| Valproic Acid                                                                                                                                                                                                                               |                       0 |              3 |
| Ferrous Sulphate Heptahydrate Bp                                                                                                                                                                                                            |                       0 |              1 |
| Ambroxol Acefyllinate                                                                                                                                                                                                                       |                       0 |              3 |
| Magnerot                                                                                                                                                                                                                                    |                       0 |              0 |
| Capsicum Fruit Soft Extract                                                                                                                                                                                                                 |                       0 |              1 |
| Methyl Salicylate                                                                                                                                                                                                                           |                       0 |              7 |
| Trientine Dihydrochloride                                                                                                                                                                                                                   |                       0 |             12 |
| Viscum Album Aceris Ex Herba Recente Col. D6                                                                                                                                                                                                |                       0 |              1 |
| Anas Barbariae Hepatis Et Cordis Extractum K200                                                                                                                                                                                             |                       0 |              1 |
| Milgamma Protect                                                                                                                                                                                                                            |                       0 |              0 |
| Cefalexin                                                                                                                                                                                                                                   |                       0 |             24 |
| Ulipristal                                                                                                                                                                                                                                  |                       0 |              1 |
| Wild Pansy (Flowering Aerial Parts)                                                                                                                                                                                                         |                       0 |              1 |
| Arachis Oil Bp                                                                                                                                                                                                                              |                       0 |              1 |
| Nicergoline                                                                                                                                                                                                                                 |                       0 |             10 |
| Oxycodone Hydrochloride Trihydrate                                                                                                                                                                                                          |                       0 |              1 |
| Azithromycin Dihydrate                                                                                                                                                                                                                      |                       0 |            103 |
| Zuclopenthixol Hydrochloride                                                                                                                                                                                                                |                       0 |              4 |
| Atropa Bella-Donna D12                                                                                                                                                                                                                      |                       0 |              1 |
| Norethisterone Bp                                                                                                                                                                                                                           |                       0 |              1 |
| Paraffin White Soft Ph. Eur.                                                                                                                                                                                                                |                       0 |              1 |
| Pirfenidone                                                                                                                                                                                                                                 |                       0 |             86 |
| Chenopodium Album Pollen Extract                                                                                                                                                                                                            |                       0 |              1 |
| Combinatieverpakking                                                                                                                                                                                                                        |                       0 |              2 |
| Benzoxonium Chloride                                                                                                                                                                                                                        |                       0 |              1 |
| Ondansetron                                                                                                                                                                                                                                 |                       0 |            150 |
| Pentosan Polysulfate                                                                                                                                                                                                                        |                       0 |              1 |
| Poractant Alfa                                                                                                                                                                                                                              |                       0 |              1 |
| Chrysanthemum Pollen                                                                                                                                                                                                                        |                       0 |              1 |
| Fluorometholone                                                                                                                                                                                                                             |                       0 |             12 |
| 4-Toluenesulfonamide-Formaldehyde Resin                                                                                                                                                                                                     |                       0 |              1 |
| Cyclizine Lactate                                                                                                                                                                                                                           |                       0 |             10 |
| Biclotymol                                                                                                                                                                                                                                  |                       0 |              5 |
| Propolis Mother Tincture                                                                                                                                                                                                                    |                       0 |              2 |
| Clarithromycin Lactobionate                                                                                                                                                                                                                 |                       0 |              4 |
| Fosphenytoin                                                                                                                                                                                                                                |                       0 |              1 |
| Acarus Siro Extract                                                                                                                                                                                                                         |                       0 |              1 |
| Gélule                                                                                                                                                                                                                                      |                       0 |              1 |
| Decitabine                                                                                                                                                                                                                                  |                       0 |             14 |
| Brigatinib                                                                                                                                                                                                                                  |                       0 |              1 |
| Quinine Bisulphate - Bp                                                                                                                                                                                                                     |                       0 |              1 |
| Salicylic Acid Bp                                                                                                                                                                                                                           |                       0 |              1 |
| Cocaine Hydrochloride Ph.Eur                                                                                                                                                                                                                |                       0 |              1 |
| Garlic Powder                                                                                                                                                                                                                               |                       0 |              2 |
| Aganirsen                                                                                                                                                                                                                                   |                       0 |              1 |
| Hexylresorcinol Bp                                                                                                                                                                                                                          |                       0 |              9 |
| Dexlansoprazole                                                                                                                                                                                                                             |                       0 |              1 |
| Retina Et Chorioidea Bovis Dil. D10                                                                                                                                                                                                         |                       0 |              1 |
| Sepiapterin                                                                                                                                                                                                                                 |                       0 |              1 |
| Spiramycin                                                                                                                                                                                                                                  |                       0 |              8 |
| Glucose Monohydrate Ph. Eur.                                                                                                                                                                                                                |                       0 |              1 |
| Almond                                                                                                                                                                                                                                      |                       0 |              2 |
| Hydrocortisone Butyrate Propionate                                                                                                                                                                                                          |                       0 |              2 |
| Ropinirole                                                                                                                                                                                                                                  |                       0 |             98 |
| Sodium Benzoate                                                                                                                                                                                                                             |                       0 |              1 |
| Sulfur Hexafluoride                                                                                                                                                                                                                         |                       0 |              1 |
| Disodium Phosphate Dihydrate                                                                                                                                                                                                                |                       0 |              1 |
| Sodium Pyrophosphate Decahydrate                                                                                                                                                                                                            |                       0 |              5 |
| Taraxici Herba Cum Radice                                                                                                                                                                                                                   |                       0 |              3 |
| Imetelstat                                                                                                                                                                                                                                  |                       0 |              1 |
| Dried Yeast From Saccharomyces Cerevisiae Hansen Cbs 5926                                                                                                                                                                                   |                       0 |              9 |
| Escherichia Coli Lyophilised Lysate                                                                                                                                                                                                         |                       0 |              2 |
| Tetracaine Hydrochloride Ph. Eur.                                                                                                                                                                                                           |                       0 |              2 |
| Iodine (123i) Iobenguane                                                                                                                                                                                                                    |                       0 |             12 |
| Lercanidipine Hydrochloride                                                                                                                                                                                                                 |                       0 |            121 |
| Edrophonium                                                                                                                                                                                                                                 |                       0 |              1 |
| Etifoxine Hydrochloride                                                                                                                                                                                                                     |                       0 |              2 |
| Ivacaftor                                                                                                                                                                                                                                   |                       0 |             17 |
| Liothyronine                                                                                                                                                                                                                                |                       0 |              1 |
| Buserelin Acetate                                                                                                                                                                                                                           |                       0 |             10 |
| Meglumine Antimonate                                                                                                                                                                                                                        |                       0 |              1 |
| Tincture From Hawthorn Berries (1:10): Extraction Solvent: Ethanol 70% (V/V)                                                                                                                                                                |                       0 |              1 |
| Epinastine Hydrochloride                                                                                                                                                                                                                    |                       0 |              3 |
| Fennel Seed                                                                                                                                                                                                                                 |                       0 |              1 |
| Alternaria Alternata Extract                                                                                                                                                                                                                |                       0 |              4 |
| Lactitol Monohydrate                                                                                                                                                                                                                        |                       0 |             11 |
| Luffa Operculata Trit. D4                                                                                                                                                                                                                   |                       0 |              2 |
| Calendula Mother Tincture                                                                                                                                                                                                                   |                       0 |              2 |
| Tramazoline Hydrochloride Monohydrate                                                                                                                                                                                                       |                       0 |             12 |
| Vi Polysaccharide Of Salmonella Typhi                                                                                                                                                                                                       |                       0 |              1 |
| Amlodipine                                                                                                                                                                                                                                  |                       0 |            242 |
| Morus Alba L.                                                                                                                                                                                                                               |                       0 |              2 |
| Magnesiumbis(Hydrogen-Dl-Aspartate) Tetrahydrate                                                                                                                                                                                            |                       0 |              1 |
| Carfilzomib                                                                                                                                                                                                                                 |                       0 |              1 |
| Metoprolol Succinate                                                                                                                                                                                                                        |                       0 |             60 |
| Tritolyl Phosphate                                                                                                                                                                                                                          |                       0 |              1 |
| Vitamin B12                                                                                                                                                                                                                                 |                       0 |              1 |
| Anthoxanthum Odoratum Pollen Extract                                                                                                                                                                                                        |                       0 |              1 |
| Natrium Bicarbonicum D6                                                                                                                                                                                                                     |                       0 |              1 |
| Oseltamivir Phosphate                                                                                                                                                                                                                       |                       0 |              5 |
| Mixture Of Allergen Extracts From Dermatophagoides Pteronyssinus And Dermatophagoides Farinae                                                                                                                                               |                       0 |              1 |
| Valaciclovir                                                                                                                                                                                                                                |                       0 |             49 |
| Zinc Orotate                                                                                                                                                                                                                                |                       0 |              1 |
| Articaine Hydrochloride                                                                                                                                                                                                                     |                       0 |              2 |
| Niraparib                                                                                                                                                                                                                                   |                       0 |              1 |
| Paltusotine                                                                                                                                                                                                                                 |                       0 |              1 |
| Piketoprofen                                                                                                                                                                                                                                |                       0 |              3 |
| Belantamab Mafodotin                                                                                                                                                                                                                        |                       0 |              1 |
| Édulcorée À L’acésulfame Potassique Laboratoire Unither                                                                                                                                                                                     |                       0 |              1 |
| Odevixibat                                                                                                                                                                                                                                  |                       0 |              2 |
| Pefloxacin Mesilate Dihydrate                                                                                                                                                                                                               |                       0 |              1 |
| Plantago Lanceolata Pollen Extract                                                                                                                                                                                                          |                       0 |              2 |
| Chloroquine Diphosphate                                                                                                                                                                                                                     |                       0 |              1 |
| 13c-Urea                                                                                                                                                                                                                                    |                       0 |             13 |
| Crataegi Folium Cum Flore Pulverata                                                                                                                                                                                                         |                       0 |              1 |
| Betaine Citrate Monohydrate                                                                                                                                                                                                                 |                       0 |              1 |
| Peumus Boldus Leaf                                                                                                                                                                                                                          |                       0 |              1 |
| Pranoprofen                                                                                                                                                                                                                                 |                       0 |              1 |
| Cipaglucosidase Alfa                                                                                                                                                                                                                        |                       0 |              1 |
| Folic Acid Bp                                                                                                                                                                                                                               |                       0 |              2 |
| 75 Mg Pastilles Eg Sans Sucre                                                                                                                                                                                                               |                       0 |              1 |
| Goat Epithelia                                                                                                                                                                                                                              |                       0 |              1 |
| Dactylis Glomerata L.                                                                                                                                                                                                                       |                       0 |              8 |
| Bitter Fennel Oil                                                                                                                                                                                                                           |                       0 |              3 |
| Pygeum Africanum Extract                                                                                                                                                                                                                    |                       0 |              1 |
| Procyanidin D                                                                                                                                                                                                                               |                       0 |              1 |
| Clonixin                                                                                                                                                                                                                                    |                       0 |              1 |
| Acidum Nitricum D4                                                                                                                                                                                                                          |                       0 |              1 |
| Helleborus Foetidus D12 Aquos.                                                                                                                                                                                                              |                       0 |              1 |
| Desmopressin                                                                                                                                                                                                                                |                       0 |             57 |
| Rasagiline                                                                                                                                                                                                                                  |                       0 |            117 |
| Scrophularia Nodosa D4                                                                                                                                                                                                                      |                       0 |              2 |
| Ginkgo Biloba Leaf Extract                                                                                                                                                                                                                  |                       0 |              3 |
